,f_fixations,%_fixations,μ_t_fixations,σ_t_fixations,μ_vmax_fixations,σ_vmax_fixations,μ_v_fixations,f_pursuits,%_pursuits,μ_t_pursuits,σ_t_pursuits,μ_vmax_pursuits,σ_vmax_pursuits,μ_v_pursuits,f_saccades,%_saccades,μ_t_saccades,σ_t_saccades,μ_vmax_saccades,σ_vmax_saccades,μ_v_saccades,f_pso/glissades,%_pso/glissades,μ_t_pso/glissades,σ_t_pso/glissades,μ_vmax_pso/glissades,σ_vmax_pso/glissades,μ_v_pso/glissades,μ_openness,μ_diameter,bedford,bedford_enc,Subject,Mode
wrk\Subject_21_baseline_rmexp.csv,3.268500507298516,0.37094281298299847,0.16516666666666666,0.18820783798178486,72.85536180555556,97.15431435761136,13.18242143037336,1.2324970662938155,0.13987635239567234,0.2507845303867403,0.16094320166494874,80.70855801104973,107.82610078911672,14.8092988412055,3.08010776972506,0.34956208140133954,0.024770081061164333,0.013940664483006883,177.4997781871776,141.83268255362316,112.49715125100408,1.2302272742748581,0.13961875321998968,0.01846678966789668,0.009753691912805642,90.98478413284133,85.97233368955997,49.99427245479069,0.8480805144696358,4.530709727415674,0,0,21,baseline
wrk\Subject_21_DVEH_0_rmexp.csv,2.7325591082526617,0.4049382716049383,0.1911646341463415,0.19838910023164025,25.620195121951223,19.941281084503967,6.5330237631973445,1.4329273372544444,0.2123456790123457,0.2874651162790698,0.1757602554270367,25.609813953488366,11.582646541081155,7.420522409190195,1.8661379275871837,0.27654320987654324,0.024428571428571435,0.015772214654322984,95.38903571428571,78.38961072777626,58.01141995614034,0.7164636686272222,0.10617283950617283,0.019395348837209305,0.01138775257016251,60.731023255813966,57.40310017901689,28.702179856115105,0.9048977617718142,7.364347507000583,5,1,21,DVEH
wrk\Subject_21_DVEH_1_rmexp.csv,1.8661690215942417,0.4132841328413284,0.4260089285714285,0.48105667722836454,17.420366071428568,10.848486941073144,3.568851948106386,0.6831511596907491,0.15129151291512916,0.22007317073170735,0.12833063057432936,29.66690243902438,86.69035900029621,6.757929513465587,1.3996267661956812,0.30996309963099633,0.029476190476190472,0.015401357539481929,58.41609523809523,58.67204542231802,32.91678352180937,0.5665155958411091,0.12546125461254612,0.020029411764705882,0.0109181050233563,28.14641176470588,20.05579394078319,16.232105726872245,0.9435626597216435,7.434513234019501,5,1,21,DVEH
wrk\Subject_21_DVEH_2_rmexp.csv,2.432846763980537,0.42318840579710143,0.32417123287671235,0.5795408120840868,31.2545,58.969633232875566,4.690955333939022,0.6165433579950677,0.1072463768115942,0.22594594594594594,0.1140059140111187,30.313216216216208,81.29642781525409,5.44918480861244,1.9996000799840032,0.3478260869565218,0.022808333333333337,0.014914923082455223,71.88624999999999,98.14214049447617,50.864499451954686,0.6998600279944012,0.1217391304347826,0.020690476190476193,0.012254227832598946,32.67819047619048,17.386258320647666,18.801634062140387,0.9304619433655608,7.088658934822471,5,1,21,DVEH
wrk\Subject_21_DVEH_3_rmexp.csv,1.9997666938857135,0.41237113402061853,0.36633333333333334,0.48950264441460256,23.640258333333335,28.368508388262686,4.784913262056414,0.9998833469428567,0.20618556701030927,0.21758333333333332,0.1677555057881029,20.2926,10.326296162710035,6.2802094982765215,1.2665189061276185,0.2611683848797251,0.024842105263157895,0.010780162863210404,60.003973684210536,39.254927853902586,36.96335381355933,0.5832652857166665,0.12027491408934707,0.021742857142857147,0.011246187562631061,34.471599999999995,42.24786244614716,20.00514586070959,0.9784701862393732,7.279461287047842,5,1,21,DVEH
wrk\Subject_21_DVEH_4_rmexp.csv,2.2993485179199227,0.40828402366863903,0.2811086956521739,0.3712915508350373,33.336246376811594,90.0411935202327,5.60445701544093,0.9330689637935917,0.16568047337278108,0.2996964285714286,0.19225883962984983,41.76142857142857,121.13329950113061,6.893678543764523,1.8661379275871837,0.33136094674556216,0.025303571428571432,0.0127411308688172,73.88529464285715,99.08299761848635,44.47842025405786,0.5331822650249096,0.09467455621301776,0.02534375,0.009809464100423632,39.045125,34.299591291068985,20.109150431565965,0.9689408150679224,7.402228587507293,5,1,21,DVEH
wrk\Subject_21_DVE_0_rmexp.csv,3.132967820420951,0.34814814814814815,0.13086170212765955,0.10870872668133515,74.27913829787234,84.68189935433351,16.379922282741244,1.716466412251904,0.19074074074074074,0.28808737864077677,0.2031327992042298,72.40633009708739,70.0008446708245,14.84174249317561,2.716349759194761,0.3018518518518518,0.024533742331288345,0.015128602986602726,206.82634355828222,154.47859655237013,130.71940335083767,1.4331661306180945,0.15925925925925924,0.01697674418604651,0.009507618419158748,125.88072093023258,122.31489855274636,67.69201575342466,0.7961205021255314,7.371370439318163,7,2,21,DVE
wrk\Subject_21_DVE_1_rmexp.csv,3.783837845046006,0.3667205169628433,0.1577136563876652,0.13999600981829777,56.08531718061675,53.92689946197737,11.460213122538477,1.3001733564475264,0.1260096930533118,0.22278205128205128,0.08938732306092052,54.37523076923077,63.7487138675539,11.736732174713703,3.3337778370449396,0.32310177705977383,0.025530000000000004,0.012880570639533018,167.01216,110.81810590857616,90.17879945162552,1.9002533671156154,0.1841680129240711,0.015912280701754388,0.010077386011932223,96.53432456140351,67.58218036966154,50.282642227122395,0.9067077203884304,7.216514435150455,7,2,21,DVE
wrk\Subject_21_DVE_2_rmexp.csv,3.2160234619742716,0.3587360594795539,0.12969430051813471,0.11302081434535821,76.04983937823836,102.10197612937482,16.391771243657868,1.682996733986536,0.18773234200743494,0.2826534653465347,0.1997865908761946,70.2810693069307,79.90064601942795,13.168509737985149,2.699460107978404,0.3011152416356877,0.028259259259259255,0.01916998539884796,228.2031913580247,151.47814277719678,132.51594517256447,1.3663933879890688,0.1524163568773234,0.018036585365853657,0.010359919391756303,135.45778048780494,92.47811285182425,74.72959432048683,0.9090135406734456,7.155036743165528,7,2,21,DVE
wrk\Subject_21_DVE_3_rmexp.csv,3.76622727348476,0.34087481146304677,0.12070353982300884,0.09350275981843714,76.5174203539823,80.30975736597459,16.888700502217826,1.8164547469461894,0.16440422322775264,0.2363211009174312,0.13624794456720432,101.49088990825686,97.07467355468854,19.25918195582127,3.5495858816471406,0.3212669683257918,0.02370892018779343,0.011041950109210207,209.12862441314553,123.26135533649405,118.93195366336631,1.916443081640475,0.17345399698340874,0.017295652173913045,0.009989537059425013,114.03672173913043,85.15558344435588,55.2257435897436,0.9759446404934567,7.499406354588648,7,2,21,DVE
